ecus	avg_ecu_time_s	lower	upper
4	412.8554722773767	31.068401131305677	24.35284708582077
5	414.41835954774245	58.02315315471901	77.3390271729877
6	427.67423682340024	63.29475857583975	48.57240919253019
7	618.2351263042932	62.474230729037004	47.880219591871764
8	720.1654724768167	94.65654494901378	65.46867312857592
9	669.4626623849017	49.31368542664541	115.18674047138006
10	687.5225999869634	66.84962619109115	82.61018726530597
11	737.564642902813	95.13449710062093	118.41859224858615
12	1015.4874364201414	89.35093227513835	137.19897279740871
13	1093.7840106629033	109.80829577313091	73.67318441006728
14	969.3362066945559	100.90653306710021	100.24778054392266
15	982.6730346611931	55.736841113994274	69.97856617628634
16	1105.187252675806	76.31877523102253	62.90849089419453
17	1345.6330883567816	94.79283760272892	230.41812585131993
18	1375.9526202551785	77.68284383677951	168.7015009546585
19	1417.3279248640372	130.71873080546447	162.83569623661674
20	1417.7169682013434	150.1989330445615	275.1165599828478
21	1427.1202506009438	213.7725666813958	242.16293457623078
22	1724.87521812602	257.35248973438706	326.03714393019413
23	1729.5016624833813	134.64030096632837	79.06179485466737
24	1768.975106756944	275.9439064656085	182.42952053410932
25	1864.3380081434243	122.85243867483109	330.1501951737732
26	1855.3698769461869	196.89571034719393	176.31746815811334
27	2120.136712938239	185.8417925359172	231.36887163562415
28	2191.1196017202265	191.47339244782893	307.38201778221264
29	2161.258817523756	135.21403437179083	73.11587260971828
30	2159.848860844024	287.61588480615205	467.6058482990443
31	2201.6974603516833	198.5299836607992	202.66339223514888
32	2450.005072172334	85.45030728551501	149.89183007784732
33	2498.218544217171	282.69238236756746	395.18808821982157
34	2578.1014907907816	247.1576610360944	360.36388473152647
35	2640.6350797459468	135.3720197649468	126.7104175929735
36	2420.71271340032	158.2705157292803	177.65452513718128
37	2949.3182607744434	330.6798798426139	602.4610238544419
38	2963.7621000971862	341.7444785985963	294.42532459829954
39	2886.674773212515	370.2228085696761	205.90753532300732
40	2891.5262993452147	178.23135971196552	135.70209797223015
41	3024.361985530461	425.3997068789349	311.25363353089097
42	3327.9743434304933	255.21052823120635	454.990556297324
43	3484.2889261591604	416.32970231761647	402.7417812579056
44	3243.447394878141	428.70948877415003	302.4136147391241
45	3217.3225114266	162.89986045146543	187.309979132453
46	3292.21608089971	120.30813762616526	188.3248692866814
47	3570.5746596213044	275.157471050376	338.7232871451738
48	3575.892270546066	364.4589274812347	257.66413768206667
49	3841.04608430834	392.1615552129033	491.42218133443475
50	3642.9063446821942	292.9112997088382	431.2745794653333
51	3750.9379582805163	403.7785517227462	659.1465038612619
52	4109.994859488451	277.6405496098546	456.29105541808985
53	3887.673125268897	133.389276292683	132.09798289298215
54	3965.1175397974816	257.32052557219686	179.18746806356967
55	4281.586454281085	413.9990031898674	461.99589460040806
56	4159.830626206323	378.89747574142666	505.783750668691
57	4393.207753470534	331.20720590415976	375.36940620850874
58	4426.054016143501	375.979025551248	306.9719638388642
59	4472.836861136733	419.1854467072453	648.7974668694997
60	4591.153960977425	208.32826906867558	152.37172423258107
61	4378.890679976297	350.8616156126932	312.5782409353242
62	5023.568226574628	447.81572143898484	733.9522227033849
63	5018.126449409057	408.01535144448553	417.493765534502
64	4908.012491862434	440.5650923830981	564.5996642904511
65	5263.75817833906	341.1875149316875	786.7113622331572
66	4842.542461425096	176.80101018676305	175.9240807145452
67	5039.091069130892	460.9974670688998	480.65114805349094
68	5561.927972511709	421.2810433392806	595.383538683096
69	5180.50201876156	372.66362930163723	994.2874265278933
70	5485.969523033632	365.8067275079302	911.4808461647453
71	5401.7743451453625	692.4004582871603	282.51415081690175
72	5897.666394031112	686.7492514842797	293.01769371684713
73	5876.779650203462	546.1757787779889	571.6965870375734
74	5532.158580306922	687.8716284228003	657.6942771899548
75	5721.955833484484	366.5245121057087	681.7909727540382
76	5806.678169581621	481.32493294495544	804.9777264494196
77	6149.795910766349	457.3997880170409	326.1951413860279
78	5979.63288843894	500.3342383214749	620.3609956880991
79	6061.262556705996	302.73776463051945	333.9787898194036
80	6026.902974855773	502.8251777354253	371.24499067274337
81	6086.821763553499	448.72374131528613	1078.7254844498038
82	6438.138723474353	564.0004515999481	318.0760173464296
83	6452.132410899689	712.3664197143098	723.7704892739521
84	6311.001438700641	530.7966709294069	398.87125532717437
85	6683.741673302313	827.2572374157717	513.8618162390267
86	6528.011041721983	584.4034053029554	445.201420329915
87	6832.692437914819	437.4620439506616	355.7722127025927
88	6870.964159268667	453.25120710015835	322.29308296574163
89	6843.433356114893	669.6375288493746	348.64501702833604
90	6824.328425551109	498.6836469777181	371.25485919285074
91	7111.563776975979	300.53535186755107	87.5094645507861
92	7089.897988793604	265.59058894731515	106.61241760217035
93	6975.69057096788	326.2388138447168	220.8847768595533
94	7087.754932047501	372.3746581504929	111.24108835396783
95	7132.739925625504	203.92162552690297	64.22105277880019
96	7050.692864993395	284.8789345985051	141.01683634361052
97	7142.958558935191	53.3843581965275	52.97657135386453
98	7194.790112215643	11.210072454638066	4.743928030206007
99	7110.603284042164	285.33877711695914	87.46136843241857
100	7195.534931128008	3.8538975878764177	3.9566787261983336
