ecus	avg_ecu_time_s	lower	upper
4	737.5885635641033	154.64545610739037	130.89623160415226
5	754.6497339908307	114.00832834536493	121.22056938008973
6	780.2352795314436	98.21891521482007	133.62338254592328
7	1153.6379034742477	186.45254957245163	296.85682812238156
8	1105.438586810679	82.14814448530137	98.32100165442057
9	1129.542025429584	159.84346646923666	112.04813617669834
10	1283.9495895963382	124.49765387978118	78.8746930719185
11	1165.4471352696935	157.35901433813228	164.63664080645412
12	1660.1553450853671	197.92700623671317	159.75758148626392
13	1723.9603096480303	234.24851036312862	188.41885376426535
14	1802.671160200813	127.62406112591702	150.30303513265426
15	1771.0931295709197	180.982838442304	175.27116073385196
16	1803.3089699748916	229.08113157231037	279.71070232432385
17	2500.6208756486917	381.49023928379756	491.2818616843906
18	2391.432185750764	210.1131972258463	259.8345387203103
19	2456.5212515325543	129.78867040729438	232.64077191499882
20	2403.563169503	202.09505583824966	173.97973730792046
21	2450.8361931152804	401.0035165660465	258.16606419535447
22	2980.919119420106	246.6874436243097	209.51267201000474
23	3074.787651814729	254.23080478823204	376.3597575051731
24	3091.528313530305	302.2199286473219	342.5181659662999
25	3018.8840947413814	246.80568793871043	581.7953526273341
26	3005.2784477144887	395.26836244085735	155.959843006955
27	3717.9501316642095	176.7256962372512	389.81390209898154
28	3605.5232758233856	148.59253367661222	336.6667271695228
29	3624.1303554511146	316.41449678297795	432.83730833120853
30	3542.7607958200465	203.18002588429727	430.22164627939446
31	3628.8487901498597	360.5015771293233	677.4250328208477
32	4498.748020386601	729.3967415251259	467.61515871861775
33	4320.206541228408	275.3816601852832	510.3961541692015
34	4135.183116665063	282.24641020985655	336.56741899146164
35	4380.836871660115	493.24436257565685	267.86429000471617
36	4298.082126739743	573.9858176440744	588.0285734272184
37	5197.814604159937	460.2983528667137	645.0166197077624
38	5096.2862927688975	339.1022662390933	824.0860505108685
39	4905.482769538498	512.6193900524149	328.8018512033341
40	4886.985954355024	367.13352470619066	699.841025870096
41	5108.145638464845	551.0827387145455	778.7769926034653
42	5510.671648642306	539.5590189937948	588.7120526817935
43	5980.336670748584	688.1932418318238	1212.2161476927868
44	5540.386906496199	699.4551764993466	416.38914055273654
45	5712.511512838453	734.669365171093	1448.6426879513647
46	5707.484193352233	381.35822069317237	722.1555321203241
47	6127.588781605319	583.7076789631974	414.01988998857996
48	6498.052645907429	662.0608262347814	371.9276078123121
49	6334.638491522882	370.31514562272423	328.2285396075795
50	6640.974571932754	474.163208949617	545.3007657232492
51	6715.153643206172	262.0773029372931	363.6946521627515
52	6765.055936541973	673.6872335795151	429.715668563872
53	7043.976389030865	301.14753809964986	135.67839467354315
54	6829.437592566206	542.6565980138876	363.5170382715469
55	7099.277862583277	190.8892480766408	88.26719710123689
56	7068.140656911542	279.9048218776916	128.95558950350824
57	7140.950968285791	223.97088787258417	55.42098587833971
58	7149.41651700739	147.90778440019858	47.43038620338848
59	7177.717471589359	14.362372534361384	22.003057643545617
60	7173.390903180851	87.3955099109262	25.996464115733943
61	7179.865859847839	60.68413683523977	18.332684054087622
62	7191.236273681771	15.503905307788045	7.247268251915557
63	7198.265192782888	1.6904210451339168	1.4279367921308221
64	7192.5512056152	6.683427499991012	6.0157162820296435
65	7196.320598457772	3.307707056945219	2.5385139987574803
66	7189.479200543513	8.992305468794257	7.703744944384198
67	7192.91464041757	15.02964737297134	6.795898649203991
68	7197.691323531387	4.576027758355849	2.1511849702565087
69	7194.815129587882	6.8034582176342155	4.975206284912929
70	7197.969483257922	3.5564620484828993	1.689430769954015
71	7196.673565196422	4.577630679387767	3.0549408515225878
72	7197.219393189226	1.3011210190370548	2.1167280679264877
73	7198.923343955816	1.2148148233281972	0.7090330748433189
74	7198.632375181372	0.6234446566795668	0.9402901357943847
75	7196.968464952705	3.405477950435852	2.7551907552724515
76	7196.842935866333	8.84102012148196	2.7629678415842136
77	7198.000489574769	4.459566693481065	1.4951991840498522
78	7196.923905796163	4.546704718732144	2.3817363334583206
79	7197.155306943551	3.460598832938558	2.27276728752895
80	7198.795491337354	1.7127009029572946	0.8065073625639343
81	7197.307858853121	2.228356799086214	2.554713151168471
82	7197.875271664422	3.124893457899816	1.8215355398215252
83	7198.557180363488	1.940610548784207	1.08060200043019
84	7196.763563543442	3.3546800475269265	2.844123542348825
85	7197.370706059243	6.495607863523219	2.4009479901715167
86	7198.436429139335	2.1232610504312106	1.1032716726413128
87	7198.520540965256	1.329838153471428	0.9347000175703215
88	7197.357476296948	4.570388322333201	1.9707171885866046
89	7197.067772509668	4.2394706592222065	2.569280811267163
90	7197.641984882487	3.177063472341615	2.3360131031049605
91	7198.268393043782	3.2589968297543237	0.9205453540316739
92	7198.5704493382	1.0642002971044349	1.068471889147986
93	7197.9457894160805	2.315714147505787	1.1258018445341804
94	7198.349854363656	1.7022917265840078	1.253855256787574
95	7198.762418750438	1.3564888138298556	0.7555573501813342
96	7198.738188353484	1.3881199781499163	1.1426074154733215
97	7198.439657756141	2.2262486443469243	1.085224866927092
98	7197.935336408754	4.251276195996979	1.7920424304757034
99	7198.5255085187755	1.5127437761448164	0.6944453126125154
100	7197.861228227087	2.962890021671228	1.698673689041243
