ecus	avg_ecu_time_s	lower	upper
4	988.0893055194465	204.55470476371295	130.69581337396266
5	950.4427006853184	279.7759876831594	280.09295146165846
6	950.8002017661173	168.22552410142077	167.986159918721
7	913.754077834382	19.42704519493566	93.28520712177476
8	950.5251575722349	56.35529927734933	56.51431764864515
9	969.2064433328102	74.87511177481304	37.83682346645958
10	968.9656534528216	74.63408549886663	37.436886844233754
11	913.4699004074213	130.87559638542996	205.323548328715
12	950.4841453516314	56.137116507397764	55.60824834976734
13	1024.6649719245763	130.48147075450208	204.76947815229323
14	1043.9562575943264	148.65282787768183	185.64033427798267
15	969.4859284762119	74.18577431392316	149.31454026310212
16	1006.5804179253737	111.27262718983627	111.59055750809284
17	969.17807128196	74.49027839801454	37.8860799225381
18	1025.5908650393694	130.27270097076462	428.4826885943862
19	1044.0072480134825	148.68261156067	185.60967655343666
20	1006.4613916727129	223.5206744296945	559.3635022315899
21	1043.87120279764	37.918273755514406	186.70686687055945
22	1043.8032596470207	37.83960718448441	75.03740449156044
23	1062.649895747067	56.5154327011262	166.97939794983336
24	1118.1241583480844	112.1451776829955	334.8433655699107
25	1081.3924291962005	74.93514527504692	260.97333022273756
26	1155.9447772802475	260.60207395678833	298.17178200186277
27	1081.2509548807768	185.8382628480697	260.15831295215366
28	1062.5376060468589	167.18178018540425	167.43249626218335
29	1062.3367657055032	167.9242484199949	167.3316443087174
30	1025.391174962426	130.0289170380737	204.27579603664572
31	1174.1681599102023	56.24985794565282	167.25510922502144
32	1230.331721063131	224.15158378981278	335.5704466692341
33	1099.4769998166523	204.0814862267738	353.71807059755224
34	1137.053471563976	129.87881543883748	93.60351314799937
35	1118.2380822836092	112.19327566662889	111.45707254293598
36	1099.8734617359225	204.39915290266686	241.58478433250366
37	1063.0596248703466	167.6103056565595	391.10268336422064
38	1099.538873081955	204.08113244147899	242.23647649424424
39	1155.6567040505468	37.83245691327306	75.03915889324026
40	1155.9030466702816	149.34624943754466	521.7872979131812
41	1081.5978389168758	74.40766110921845	37.38273759642061
42	1174.1242450795378	167.83157532728887	168.34209855999416
43	1230.0923480516842	222.8304521869801	223.49917864138138
44	1230.1759259210169	223.57730211772707	669.9460925031517
45	1137.6046921554762	130.39330710609534	93.13839219111355
46	1100.0126227193698	92.77735708501905	129.74882740057683
47	1118.4304374770015	111.13336777091024	111.39014812192727
48	1248.5333797658013	130.47846419572784	204.78334512397896
49	1193.338911108027	186.08864389499342	149.1888651924403
50	1230.625119706161	224.2649914937516	335.4116775597481
51	1118.6944794038059	112.54081143283884	112.08130392288581
52	1155.7310682583022	149.0562303232415	186.8482445201571
53	1267.6025798150501	149.64417426417003	186.70378031543805
54	1137.0113063660638	241.41259353762246	92.87963589149035
55	1137.281620306938	129.94103688254006	204.67416940885755
56	1174.3593370891067	167.02460297556706	168.23722112667065
57	1155.9604394988617	37.97503846365589	186.0326453751909
58	1323.9901041162054	204.85623689664635	353.8507924076707
59	1230.1012471551119	111.88994404655614	112.53836956613645
60	1193.2094238757704	75.01049200794114	260.1801051080888
61	1174.3029513809154	167.97956112364227	167.3469057617474
62	1305.2556009617654	186.05994935344688	260.8577444650882
63	1249.0364237744552	131.05645919292147	205.40024686264042
64	1230.2317743794626	112.03818519786364	223.10097516238352
65	1119.1587533472928	111.77846586425107	111.73993841838069
66	1212.056242781592	204.47702957504237	130.66240187014864
67	1212.0886200758216	93.87474439465723	130.6676373975058
68	1249.4696957956528	241.99846475963238	204.3425572897322
69	1193.4247767800637	186.89574984311207	149.32268261762783
70	1286.5996970735023	167.28781028950993	166.9592722090672
71	1286.745533437989	167.45177500470072	167.71943238897006
72	1230.547864227149	111.91021293951826	111.08053606765384
73	1230.514650849004	222.91417558597925	224.01844280259775
74	1231.048927790178	111.8240900361086	447.0366594506934
75	1267.8907281996264	149.28784798904667	185.6424125596484
76	1137.533810611976	129.9910589776972	93.5980386562369
77	1249.3578979191868	241.81379097133254	205.2524531426468
78	1230.935594834424	111.63459622526102	111.99443811676906
79	1156.4343849312056	149.7131473622669	186.3658501867826
80	1230.7240935426828	111.9342622816796	112.03873221830759
81	1323.722097178337	204.40994298982082	353.3686906551484
82	1379.580319448433	261.2577195269803	410.3194048233904
83	1230.759871870913	223.13103751220933	222.68455099339258
84	1212.2765210837404	92.84255548984333	130.02295257924789
85	1361.1975984862058	130.94223830641977	204.0690502423729
86	1268.1083503305547	148.5730737435672	74.91318667225346
87	1175.0122183748956	167.21069050866254	56.303148088117496
88	1193.2176258138652	74.78265413937766	37.43714113788246
89	1324.0405923226701	204.64234079210746	130.79945865172795
90	1361.1720395652658	130.9766912653713	93.63878774353407
91	1249.7072782396729	130.3330130827817	205.111076422432
92	1361.1711630553216	241.69348733077436	316.15890642817317
93	1305.3308738093174	185.77835854851583	261.2544313823885
94	1249.6929222492113	130.13140713727012	93.34763172696239
95	1286.7429744151711	168.04433554394154	168.12843153266908
96	1268.294457874111	149.7115532371838	185.63278480894314
97	1249.6484811190774	241.7121316475252	316.8686004323665
98	1230.9833545387612	112.25965979976536	224.03630099822135
99	1324.2136714151025	204.6555776198286	130.80000733943302
100	1230.8552458224462	112.01088157984736	222.9540976066919
